sale_commodity_id,price,role,time
1,279.47,admin,2022-11-28 13:12:52
1,305.25,admin,2022-12-15 09:30:00
1,299.34,admin,2023-11-30 12:00:00
1,278.23,admin,2023-12-18 14:30:00
1,300.00,admin,2023-12-23 08:00:00
1,302.03,admin,2023-12-23 17:00:00
2,299.99,admin,2022-12-02 14:32:21
2,305.50,admin,2022-12-03 12:53:45
2,312.00,admin,2022-12-04 11:34:21
2,320.12,admin,2023-12-03 12:00:00
2,310.80,admin,2023-12-19 14:30:00
2,300.90,admin,2023-12-23 16:00:00
2,305.09,admin,2023-12-23 17:00:00
3,799.99,admin,2022-12-03 15:12:52
3,822.00,admin,2022-12-05 11:45:32
3,829.10,admin,2022-12-10 08:00:00
3,835.80,admin,2022-12-15 09:30:00
3,810.01,admin,2023-12-05 12:00:00
3,780.30,admin,2023-12-18 14:30:00
3,789.60,admin,2023-12-23 17:00:00
4,128.88,admin,2022-12-04 14:32:21
4,133.50,admin,2022-12-05 12:53:45
4,139.00,admin,2022-12-06 11:34:21
4,144.95,admin,2022-12-10 08:00:00
4,127.60,admin,2023-12-06 12:00:00
4,126.90,admin,2023-12-15 14:30:00
4,130.90,admin,2023-12-23 17:00:00
5,89.99,admin,2022-12-05 13:34:27
5,100.00,admin,2022-12-10 08:00:00
5,105.50,admin,2022-12-15 09:30:00
5,112.00,admin,2022-12-20 11:00:00
5,92.50,admin,2023-12-07 12:00:00
5,95.00,admin,2023-12-15 14:30:00
5,90.00,admin,2023-12-23 17:00:00
6,449.88,admin,2022-12-06 09:34:21
6,458.50,admin,2022-12-07 08:56:17
6,474.35,admin,2022-12-10 08:00:00
6,480.85,admin,2023-12-17 08:00:00
6,430.20,admin,2023-12-23 17:00:00
7,399.99,admin,2022-12-07 13:34:27
7,400.50,admin,2022-12-09 15:12:41
7,380.00,admin,2022-12-10 17:45:32
7,359.25,admin,2023-12-17 08:00:00
7,380.75,admin,2023-12-23 17:00:00
8,529.99,admin,2022-12-08 13:34:27
8,520.50,admin,2022-12-11 15:12:41
8,530.00,admin,2022-12-12 17:45:32
8,545.60,admin,2023-12-23 17:00:00
9,449.88,admin,2022-12-09 14:23:45
9,378.75,admin,2023-01-15 08:52:30
9,411.20,admin,2023-10-01 11:19:45
9,435.40,admin,2023-07-21 16:30:15
9,341.60,admin,2023-12-20 18:00:00
10,199.99,admin,2022-12-10 14:23:45
10,197.50,admin,2023-01-05 12:45:32
10,203.75,admin,2023-05-10 08:00:00
10,201.25,admin,2023-12-15 09:30:00
10,199.99,admin,2023-12-20 11:00:00
11,159.99,admin,2022-12-11 17:45:32
